english,hindi
Will it be faster to get downtown by car or by bus ?,Downtown पोहोचने me car fast होगी ya bus ?
Friday weather report for half moon bay,half moon bay के लिये Friday के din की weather report
Where is the closest bus stop that will take me to the Westchester airport ?,सबसे निकटतम bus stop kaha है jo मुझे Westchester airport तक ले जाए
make my alarm now 0630,मेरी alarm अभि 0630 के लिये बनाओ
Set a reminder for August 20th at 5 am to work out .,Alarm set किजिये to work out for August 20th at 5 am .
how much time left on my current timer,Mere current timer me कितना time बच्चा he
Remind me to buy laundry soap .,Muje remind कराए to buy laundry soap .
Remind me to get blood work done on Thursday at 3 pm,Mujhe Thursday 3 बजे ko blood work करने के लिये याद दिलाये
cancel all alarms please,please सारे एलार्म cancel कार्डो
Taylor Swift concerts this month near me,Is month me Taylor Swift के संगीत कार्यक्रम ho रहे he near me
Will it be hot outside,Kya आज bahar गरमी होगी
What was the coldest day last week,last week ka सबसे सबसे ठंडा day क्या tha
What route should I take to get to the circus ?,Circus me jane के लिये मुझे कोन्सा route लेना चाहिए ?
please save this song,please is गैनी ko save karo
set my reminders for 2 hours before bedtime,Mere अनुस्मारक ko set करे for 2 घंटे before bedtime
play reggae,रेग play करे
Remind me to go grocery shopping on Saturday morning .,Saturday morning ko मुझे remind कराए to go grocery shopping .
ask Jeannie to meet me after work at Central Cafe,Jeannie ko पुछिये की work के बाद मुझे Central Cafe मेई mile
anything to do on Sunday Mornings in Boerne,Boerne me Sunday Mornings par करने के लिये Chuze
Play a happy song,इक happy song बजाओ
Tell Kenny I am headed to the Copper River near his house,Kenny ko bolo की I am headed to the Copper River near his house
How long until my alarm will go off,मेरी alarm बजने मेई कितनी डीईआर है
Correct my wake up alarm to 6 : 00 am,मेरी wake up alarm ko 6 : 00 am के लिये correct करे
What is the fastest road I can take to get to Roosevelt Field ?,Roosevelt Field पोहोचने के लिये me कोन्सा सबसे तेज़ road ले sakta हू ?
Turn of my alarm if it keeps going off for more than 5 Minutes,मेरी alarm ko band कार्डिजिये agar wo 5 मिनट se ज़ैदा बजहता है
Do I need jacket today ?,क्या मुझे आज jacket की ज़रुरत पड़ेगी ?
I need to travel to New York by train ; please remind me to set alarm at 4 PM today .,Muje train se New York जना वह; Please मुझे remind कराए to set alarm at 4 बजे today .
How long did it take me to walk 3 miles,मुझे 3 मील चालन मेई कितनी डीईआर लगी
What was the high temperature yesterday,कल ka high temperature क्या tha
what ' s the weather like tonight,ए जे रात ka weather कैसा है
Please show me all alarms I have on Wednesday,please मुझे wo सभी एलार्म दिखाये jo mere पास Wednesday ko है
Is it going to snow today ?,क्या ए जे बर्फ गिर्ने वली है
"Send a video message to my brother , Sally , and Persephone",mere भाई Sally मैं और Persephone ko इक video message भेजो
Restart the timer,Timer ko restart करे
Remind me to buy a birthday gift for mom,Muje remind कराए to buy a birthday gift for माँ
How fast will the wind be in kilometers per hour ?,किलोमीटर per hour me wind कितनी fast होगी ?
Cancel alarms please .,please एलार्म ko cancel कार्डो
Is there a traffic jam on Alafaya,क्या Alafaya me traffic jam है
Find classical music,classical music ढूंढ़ें
What ' s the weather in New York ?,New York me weather केसा he ?
send a text message to Noah . We finally bought our Disney annual passes so hopefully we can come with you this winter !,Noah ko text message send करे . We finally bought our Disney annual गुजरता so hopefully we can come with you this winter !
